caseType,caseDescription
Labor,I was fired from my job without cause. Can you help me get my job back or get compensation for my wrongful termination?
Labor,My employer is not paying me overtime wages. Can you help me collect the wages I am owed?
Labor,"I have been discriminated against at my job because of my race, gender, age, or disability. Can you help me file a discrimination complaint?"
Labor,I was injured at work. Can you help me file a workers' compensation claim?
Labor,I am a union member and I believe my union is not representing me properly. Can you help me file a grievance against my union?
Labor,I am a non-immigrant worker and I believe my employer is exploiting me. Can you help me file a complaint with the Department of Labor?
Labor,I am an independent contractor and I believe my client is not paying me fairly. Can you help me draft a contract that protects my rights?
Labor,I am a business owner and I need help developing a company handbook that complies with all labor laws. Can you help me?
Labor,I am a human resources manager and I need help understanding the latest labor laws. Can you provide me with some training?
Labor,I was fired from my job without cause. What are my rights?
Labor,I am not being paid overtime. What can I do?
Labor,I am being harassed at work. What should I do?
Labor,I was injured on the job. What are my options?
Labor,My employer is not following safety regulations. What can I do?
Labor,I am being discriminated against at work. What should I do?
Labor,I am not being given breaks or meal periods. What are my rights?
Labor,I am being forced to work off the clock. Is this legal?
Labor,I am not being paid my wages. What can I do?
Labor,I am being retaliated against for complaining about workplace violations. What should I do?
Labor,I am a mediator and I need help resolving a labor dispute between two of my clients. Can you help me?
Consumer Protection,I bought a product that is defective.�What can I do?
Consumer Protection,I was scammed by a company.�How can I get my money back?
Consumer Protection,I am having trouble with my credit card company.�What are my rights?
Consumer Protection,I am being sued by a debt collector.�What should I do?
Consumer Protection,I was denied a loan because of my credit history.�Is this legal?
Consumer Protection,I was charged for services that I did not receive.�What can I do?
Consumer Protection,I was misled by a company's advertising.�What should I do?
Consumer Protection,I am having trouble returning a product.�What are my rights?
Consumer Protection,My identity was stolen.�What should I do?
Consumer Protection,I am being harassed by a company.�What can I do?
Consumer Protection,I purchased a product that is defective and the manufacturer is refusing to refund my money. Can you help me get my money back?
Consumer Protection,I was scammed by a fraudulent business. Can you help me get my money back and press charges against the scammers?
Consumer Protection,I was misled by a deceptive marketing campaign. Can you help me file a complaint with the Federal Trade Commission?
Consumer Protection,I was injured by a dangerous product. Can you help me file a product liability lawsuit?
Consumer Protection,I have a problem with a debt collector. Can you help me negotiate with the debt collector or file a complaint with the Consumer Financial Protection Bureau?
Consumer Protection,I have been denied credit or insurance because of my credit history. Can you help me dispute the inaccurate information on my credit report?
Consumer Protection,I have been harassed by a telemarketer. Can you help me register my phone number on the National Do Not Call Registry?
Consumer Protection,I have been contacted by a scam artist who is trying to steal my identity. Can you help me protect my identity and report the scam to the proper authorities?
Consumer Protection,I am a business owner and I need help developing a compliance program to ensure that my business is complying with all consumer protection laws. Can you help me?
Consumer Protection,I am a consumer advocate and I need help educating consumers about their rights. Can you provide me with some resources?
Corporate,I want to start a business. What do I need to do?
Corporate,I need help with a contract. Can you review it for me?
Corporate,I am having a dispute with a business partner. What are my options?
Corporate,I am being sued by a customer. What should I do?
Corporate,I need help with trademark or copyright registration.
Corporate,I need help with mergers and acquisitions.
Corporate,I need help with commercial litigation.
Corporate,I need help with employment law compliance.
Corporate,I need help with corporate governance.
Corporate,I need help with tax planning.
Corporate,I am starting a new business and I need help forming a business entity. Can you help me?
Corporate,I need help drafting and negotiating contracts for my business. Can you help me?
Corporate,I need help protecting my business's intellectual property. Can you help me?
Corporate,I am in a dispute with another business. Can you help me negotiate a settlement or file a lawsuit?
Corporate,I need help complying with all corporate laws and regulations. Can you help me?
Corporate,I am raising capital for my business. Can you help me negotiate investment terms and draft investment documents?
Corporate,I am selling my business. Can you help me negotiate the sale price and draft the sale agreement?
Corporate,I am a member of a board of directors and I need help understanding my legal duties and responsibilities. Can you provide me with some training?
Corporate,I am a corporate executive and I need help making sound legal decisions for my company. Can you provide me with legal counsel?
Corporate,I am a corporate lawyer and I need help staying up-to-date on the latest corporate laws and regulations. Can you provide me with some resources?
Criminal,I've been charged with a DUI and need legal representation. Can you help me understand the potential consequences and build a strong defense strategy?
Criminal,I believe I've been wrongfully accused of a white-collar crime. I need a criminal attorney to review the evidence and defend my innocence.
Criminal,"My relative has been arrested, and I'm looking for a criminal defense attorney to assist with their bail hearing and subsequent legal proceedings."
Criminal,"I'm a witness in a criminal case, and I want to know what my rights and obligations are regarding my testimony and involvement in the trial."
Criminal,I'm seeking to have my criminal record expunged. Can your law firm assist me with the process to clear my record and improve my employment prospects?
Criminal,I was arrested for a crime I didn't commit. What should I do?
Criminal,I am being charged with a crime. What are my rights?
Criminal,I am being harassed by the police. What can I do?
Criminal,I was injured by a police officer. What are my options?
Criminal,I am being held in jail without bond. Can you help me get out?
Criminal,I am being deported. What can I do?
Criminal,I am on probation or parole and I have violated the terms of my release. What should I do?
Criminal,I am a victim of crime. What are my rights?
Criminal,I am a witness to a crime. What should I do?
Criminal,I am being sued for defamation. How can I defend myself?
Criminal,"I was recently arrested for drug possession. I'm not guilty, but I'm scared and don't know what to do. Can you help me?"
Criminal,"I was assaulted by a coworker, and the police have charged him with a crime. I want to make sure he is held accountable for his actions. Can you represent me in this case?"
Criminal,I was accused of a crime that I didn't commit. I was wrongfully convicted and served time in prison. I want to clear my name and get compensation for the time I lost. Can you help me?
Criminal,"I was the victim of a crime, and the perpetrator was never caught. I want to explore my legal options for getting justice. Can you advise me?"
Criminal,I'm being investigated for a crime that I didn't commit. I'm worried that I could be arrested and charged. Can you represent me and protect my rights?
Intellectual Property,I've developed a new software application and want to protect it with a patent. Can your firm assist with the patent application process and offer guidance on IP strategy?
Intellectual Property,Our company is concerned about potential trademark infringement. We need legal counsel to assess our trademark portfolio and help us take action against infringing parties.
Intellectual Property,I'm an artist and need assistance in registering copyrights for my creative works. Can your law firm help with copyright applications and enforcement?
Intellectual Property,We're launching a new product and want to ensure we have proper protection for our trade secrets. What steps should we take to safeguard our intellectual property?
Intellectual Property,We've received a cease and desist letter claiming our product infringes on someone else's patent. We need legal representation to assess the validity of the claim and respond appropriately.
Intellectual Property,I have an idea for a new product. How can I protect it?
Intellectual Property,I think my copyright has been infringed. What can I do?
Intellectual Property,I want to trademark my company name. How do I do it?
Intellectual Property,I am being sued for patent infringement. What should I do?
Intellectual Property,I want to license my intellectual property. How can I do it?
Intellectual Property,I want to register my copyright with the US Copyright Office. How can I do it?
Intellectual Property,I want to register my trademark with the US Patent and Trademark Office. How can I do it?
Intellectual Property,I want to file a copyright infringement lawsuit. Can you help me?
Intellectual Property,I want to file a patent infringement lawsuit. Can you help me?
Intellectual Property,I want to file a trademark infringement lawsuit. Can you help me?
Intellectual Property,"I have a new product that I'm developing, and I want to make sure that it is protected by intellectual property law. Can you help me obtain a patent or trademark?"
Intellectual Property,My company's intellectual property has been infringed upon. We want to take legal action against the infringer. Can you represent us in this case?
Intellectual Property,"I'm a creative professional, and I need help negotiating contracts with clients and protecting my work from copyright infringement. Can you provide legal advice and representation?"
Intellectual Property,I'm interested in starting a business that sells products or services that are protected by intellectual property law. Can you advise me on how to do this in a way that protects my rights?
Intellectual Property,"I'm being sued for intellectual property infringement. I believe that the claims against me are unfounded, and I need help defending myself in court. Can you represent me?"
Tax,"""I'm facing a tax audit, and I need a tax attorney to represent me during the audit process and ensure that I'm in compliance with tax laws."""
Tax,"""I'm a small business owner and need help with tax planning to minimize my tax liability. Can your firm provide tax strategies for my business?"""
Tax,"""I've inherited a substantial estate and want to understand the tax implications of estate planning. Can you assist me in creating an estate plan that minimizes estate taxes?"""
Tax,"""I'm an expatriate living abroad and need guidance on U.S. tax compliance and reporting. Can your law firm help me navigate international tax laws?"""
Tax,I owe back taxes. How can I avoid an audit?
Tax,"If a co-tenant dies, their share of the income from the commercial property will be taxed as part of their estate. The surviving co-tenant(s) will continue to be taxed on their share of the income."
Tax,I am being audited by the IRS. What should I do?
Tax,The IRS has seized my assets. How can I get them back?
Tax,I am facing a tax lien or levy. What are my options?
Tax,I am being sued by the IRS. What should I do?
Tax,I need help with my tax return. Can you prepare it for me?
Tax,I need help with a tax audit. Can you represent me?
Tax,I need help with a tax lien or levy. Can you help me negotiate with the IRS?
Tax,I need help with a tax lawsuit. Can you represent me in court?
Tax,I am starting a new business. What tax implications should I be aware of?
Tax,"I'm starting a new business, and I need help setting up my tax structure and minimizing my tax liability. Can you provide tax planning and advisory services?"
Tax,"I'm being audited by the IRS. I'm not sure what to expect, and I'm worried about making a mistake. Can you represent me and help me through the audit process?"
Tax,"I received a tax bill that I believe is incorrect. I want to dispute the bill, but I don't know how to do it on my own. Can you help me?"
Tax,I'm facing tax penalties and interest. I want to negotiate with the IRS to reduce my debt. Can you represent me in these negotiations?
Tax,I'm considering filing for bankruptcy. I'm concerned about the tax implications of bankruptcy. Can you advise me on how to best protect my rights?
Civil,I was injured in an accident. What are my rights?
Civil,I am being sued for breach of contract. How can I defend myself?
Civil,I am having a dispute with a neighbor. What are my options?
Civil,"I was discriminated against on the basis of my race, gender, or religion. What can I do?"
Civil,I am being harassed by a creditor. What are my rights?
Civil,I am being evicted from my home. What can I do?
Civil,I am being sued for defamation. How can I defend myself?
Civil,I am being sued for malicious prosecution. How can I defend myself?
Civil,I am being sued for wrongful death. How can I defend myself?
Civil,I am being sued for medical malpractice. How can I defend myself?
Civil,I was injured in a car accident and the other driver's insurance company is refusing to pay my medical bills. Can you help me file a lawsuit?
Civil,My landlord is illegally evicting me from my apartment. Can you represent me in court?
Civil,I was discriminated against at work because of my race/gender/disability. Can you help me file a complaint with the Equal Employment Opportunity Commission (EEOC)?
Civil,I was the victim of fraud. Can you help me get my money back?
Civil,I was injured by a defective product. Can you help me file a product liability lawsuit?
Civil,I was the victim of medical malpractice. Can you help me file a lawsuit against the doctor or hospital?
Civil,I am being sued by a creditor. Can you help me defend myself in court?
Civil,I am being sued by my ex-spouse for child support/alimony. Can you represent me in court?
Civil,I am being sued by my neighbor for a property dispute. Can you represent me in court?
Civil,I am being sued by my employer for breach of contract. Can you represent me in court?
Human Rights,I have been detained without charge. What are my rights?
Human Rights,I have been tortured or mistreated by the police. What can I do?
Human Rights,"I have been discriminated against on the basis of my race, gender, or religion. What can I do?"
Human Rights,I have been denied freedom of speech or assembly. What can I do?
Human Rights,I have been denied due process of law. What can I do?
Human Rights,I am a refugee and I need help applying for asylum.
Human Rights,I am a victim of human trafficking. What are my rights?
Human Rights,I am a victim of domestic violence. What are my rights?
Human Rights,I am a child and I have been abused or neglected. What are my rights?
Human Rights,I am a member of a minority group and I have been discriminated against. What are my rights?
Human Rights,I have been arrested and detained without charge. Can you help me get released?
Human Rights,I have been tortured or abused by the police. Can you help me file a complaint?
Human Rights,I have been discriminated against because of my race/religion/ethnicity/gender/sexual orientation. Can you help me file a complaint?
Human Rights,I have been denied access to education/healthcare/employment. Can you help me enforce my rights?
Human Rights,I have been displaced from my home by conflict or disaster. Can you help me get access to food/water/shelter?
Human Rights,I am a refugee or asylum seeker. Can you help me apply for asylum or refugee status?
Human Rights,I have been the victim of trafficking in persons. Can you help me get help and support?
Human Rights,I have been detained in an immigration detention center. Can you help me get released?
Human Rights,I am being denied the right to a fair trial. Can you help me enforce my rights?
Human Rights,I am being persecuted by my government for my political beliefs. Can you help me get asylum in another country?
Family,I want to get a divorce. How do I start the process?
Family,I am having a dispute with my child's other parent over custody or child support. What are my options?
Family,I need help with a prenuptial or postnuptial agreement.
Family,I need help with adoption or foster care.
Family,I am facing a domestic violence charge. How can I defend myself?
Family,I am a grandparent and I want to get custody of my grandchild. What are my rights?
Family,I am a child and I want to live with one parent instead of the other. What are my rights?
Family,I am a child and my parents are getting a divorce. What are my rights?
Family,I am a child and I have been abused or neglected. What can I do?
Family,I am a victim of domestic violence. What are my rights?
Family,I am getting divorced and need help with child custody and visitation.
Family,I am getting divorced and need help with property division and alimony.
Family,I am getting divorced and need help with child support.
Family,I am going through a parenting dispute with my ex-partner. Can you help me resolve the dispute?
