caseType,clientType,caseDescription
Consumer Protection,Individual,A consumer alleges that a company sold them a defective product.
Labor,Individual,An employee alleges that they were wrongfully terminated from their job.
Corporate,Individual,A shareholder alleges that a company's board of directors breached their fiduciary duty.
Intellectual Property,Individual,An inventor alleges that a company infringed on their patent.
Tax,Individual,An individual alleges that the IRS incorrectly assessed their taxes.
Criminal,Individual,"An individual is charged with a crime, such as theft or assault."
Civil,Individual,"An individual sues another individual or company for damages, such as personal injury or breach of contract."
Human Rights,Individual,"An individual alleges that their human rights were violated, such as the right to free speech or the right to a fair trial."
Family,Individual,"An individual files for divorce, child custody, or child support."
Real Estate,Individual,"An individual is involved in a real estate dispute, such as a boundary dispute or a foreclosure."
Constitutional,Individual,"An individual alleges that their constitutional rights were violated, such as the right to due process or the right to equal protection under the law."
Entertainment,Individual,An entertainer alleges that a studio or production company breached their contract or infringed on their intellectual property.
Media,Individual,A journalist alleges that a government agency is violating the First Amendment by restricting their access to information.
Medical,Individual,A patient alleges that a medical professional committed malpractice.
Immigration,Individual,An individual is seeking to immigrate to the United States or is facing deportation.
Environmental,Individual,An individual alleges that a company is polluting the environment or violating environmental regulations.
Banking,Individual,A customer alleges that a bank is charging them excessive fees or is engaging in unfair lending practices.
Finance,Individual,An investor alleges that a financial advisor defrauded them or gave them bad advice.
Consumer Protection,Individual,"I bought a new car, but it turned out to be a lemon. I'm suing the dealership for breach of warranty."
Labor,Individual,I was fired from my job for complaining about unsafe working conditions. I'm suing my former employer for wrongful termination.
Corporate,Individual,"I'm a shareholder in a company, and the board of directors is making decisions that are hurting the company's bottom line. I'm suing the board for breach of fiduciary duty."
Intellectual Property,Individual,"I wrote a song, but a record company stole it and released it without my permission. I'm suing the record company for copyright infringement."
Tax,Individual,The IRS is auditing me for no reason. I think they're targeting me because I'm a small business owner.
Criminal,Individual,I'm innocent of the crime I'm charged with. I was in the wrong place at the wrong time.
Civil,Individual,I was injured in a car accident caused by a drunk driver. I'm suing the drunk driver for negligence.
Human Rights,Individual,I was detained by immigration officials without due process. I was held in a cell for days without being allowed to see a lawyer or my family.
Family,Individual,My spouse is cheating on me. I want to file for divorce and get custody of our children.
Real Estate,Individual,"I bought a house, but it turned out to be haunted. I'm suing the seller for fraud."
Constitutional,Individual,My school district suspended me for wearing a political t-shirt to school. I'm suing the school district for violating my First Amendment rights.
Entertainment,Individual,"I'm an actor, and the film producer breached my contract by failing to pay me for my work on a movie."
